Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Nynäsvägen 351,Gamla Enskede,Stockholms kommun,2022-09-01,3500000,3395000,Lägenhet,Bostadsrätt,2 ,62 ,False,2 av 3,False,1931,3650,4000
"Grusåsgränd 86, 3tr",Enskededalen,Stockholms kommun,2022-08-31,3725000,2995000,Lägenhet,Bostadsrätt,2 ,64 ,True,3 av 3,True,1979,3052,4800
Kyrkogårdsvägen 47,Enskededalen,Stockholms kommun,2022-08-30,3430000,2995000,Lägenhet,Bostadsrätt,2 ,41 ,False,3 av 3,False,1921,2471,4000
Sockenvägen 482,Enskede,Stockholms kommun,2022-08-27,2750000,2695000,Lägenhet,Bostadsrätt,2 ,49 ,True,2 av 3,False,1945,3560,3000
Oppundavägen 35,Svedmyra,Stockholms kommun,2022-08-24,2830000,2495000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 4,False,1950,3431,4998
"Brevvägen 7, vån 3/3",Svedmyra,Stockholms kommun,2022-08-24,2900000,2650000,Lägenhet,Bostadsrätt,2 ,49 ,True,3 av 3,True,1949,2803,4000
Enskedevägen 170,Svedmyra,Stockholms kommun,2022-08-11,3120000,2995000,Lägenhet,Bostadsrätt,2 ,52 ,True,1 av 4,True,2018,3270,5850
Postiljonsvägen 31,Svedmyra,Stockholms kommun,2022-08-02,3200000,2875000,Lägenhet,Bostadsrätt,2 ,53 ,True,3 av 4,False,1948,1896,4000
Grusåsgränd 89,Gamla Enskede,Stockholms kommun,2022-07-08,2710000,2495000,Lägenhet,Bostadsrätt,2 ,64 ,True,3 av 3,True,1980,3233,4000
"Stora gungans väg 11, 1 tr",Enskede - Gamla Enskede,Stockholms kommun,2022-07-07,3000000,2850000,Lägenhet,Bostadsrätt,2 ,43 ,False,2 av 3,False,1926,1660,6000
Täppgränd 7,Enskede/Enskededalen,Stockholms kommun,2022-07-04,2895000,2895000,Lägenhet,Bostadsrätt,2 ,64 ,True,2 av 4,True,1981,2492,9336
Stora Gungans väg 5,Gamla Enskede,Stockholms kommun,2022-06-27,4900000,3950000,Lägenhet,Bostadsrätt,2 ,53 ,False,2 av 3,False,1913,3248,5400
Postiljonsvägen 5,Svedmyra,Stockholms kommun,2022-06-21,3010000,2595000,Lägenhet,Bostadsrätt,2 ,"53,5 ",,0 av 3,True,1949,2151,5400
Stockholmsvägen 59,Enskede - Gamla Enskede,Stockholms kommun,2022-06-08,3250000,3200000,Lägenhet,Bostadsrätt,2 ,39 ,False,2 av 3,False,1912,1680,6960
"Bersågränd 8, 2tr",Enskededalen,Stockholms kommun,2022-06-03,3050000,2795000,Lägenhet,Bostadsrätt,2 ,64 ,True,2 av 3,True,1981,2734,5460
"Nynäsvägen 369, 1,5 tr",Enskede,Stockholms kommun,2022-05-30,3750000,3800000,Lägenhet,Bostadsrätt,2 ,65 ,False,1,False,1927,4317,6480
