Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Hammarby allé 5, 6tr",Hammarby Sjöstad,Stockholms kommun,2022-08-24,3965000,3695000,Lägenhet,Bostadsrätt,2 ,48 ,True,6 av 10,True,2016,2913,5160
"Vävar Johans gata 28, vån 6/6",Hammarby Sjöstad,Stockholms kommun,2022-08-08,4400000,4450000,Lägenhet,Bostadsrätt,2 ,50 ,True,6 av 6,True,2019,2920,11760
Midskeppsgatan 16,Hammarby Sjöstad,Stockholms kommun,2022-07-06,4515000,4495000,Lägenhet,Bostadsrätt,2 ,60 ,True,3,True,2008,3276,2400
Hammarby Allé 5,Hammarby Sjöstad,Stockholms kommun,2022-07-01,3725000,3850000,Lägenhet,Bostadsrätt,2 ,52 ,True,3,True,2016,3317,4320
Heliosgatan 12B,Hammarby Sjöstad,Stockholms kommun,2022-07-01,4250000,4250000,Lägenhet,Bostadsrätt,2 ,50 ,True,6 av 10,True,2019,2473,2400
"Virkesvägen 9A, 2 tr",Hammarby Sjöstad,Stockholms kommun,2022-06-15,4750000,4295000,Lägenhet,Bostadsrätt,2 ,"55,5 ",True,2 av 4,True,2020,3227,2400
"Virkesvägen 9G, HÖGST UPP!",Hammarby Sjöstad,Stockholms kommun,2022-06-05,5000000,4595000,Lägenhet,Bostadsrätt,2 ,"57,5 ",True,7 av 7,True,2019,3257,11088
Fendergatan 6,Hammarby sjöstad,Stockholms kommun,2022-05-27,4100000,3850000,Lägenhet,Bostadsrätt,2 ,55 ,True,1,True,2009,3330,4300
Båtbyggargatan 34,Hammarby Sjöstad,Stockholms kommun,2022-05-17,4375000,3995000,Lägenhet,Bostadsrätt,2 ,60 ,True,3 av 5,True,2003,4240,4200
Båtbyggargatan 23,Hammarby Sjöstad,Stockholms kommun,2022-05-17,5000000,4950000,Lägenhet,Bostadsrätt,2 ,50 ,True,6 av 6,True,2019,2920,3500
Virkesvägen 7C,Hammarby Sjöstad,Stockholms kommun,2022-05-12,3900000,3995000,Lägenhet,Bostadsrätt,2 ,42 ,True,1 av 6,True,2021,2755,7000
Hammarby Allé 165,Hammarby Sjöstad,Stockholms kommun,2022-05-06,5900000,5695000,Lägenhet,Bostadsrätt,2 ,"63,5 ",True,7 av 7,True,2001,3703,3000
Styrbordsgatan 23 2tr,Hammarby Sjöstad,Stockholms kommun,2022-05-06,4400000,4400000,Lägenhet,Bostadsrätt,2 ,50 ,True,2 av 5,True,2001,3642,3300
Styrbordsgatan 7,Hammarby Sjöstad,Stockholms kommun,2022-05-06,4000000,3995000,Lägenhet,Bostadsrätt,2 ,56 ,False,1 av 5,True,2003,3820,
"Sjöfartsgatan 11, vån 7",Hammarby Sjöstad,Stockholms kommun,2022-05-05,5800000,5600000,Lägenhet,Bostadsrätt,2 ,"66,5 ",True,5 av 5,True,2007,3708,8436
Korphoppsgatan 21,Hammarby Sjöstad,Stockholms kommun,2022-05-03,4150000,3995000,Lägenhet,Bostadsrätt,2 ,46 ,False,1 av 7,True,2002,2796,
Hammarbyterrassen 18,Hammarby Sjöstad,Stockholms kommun,2022-05-01,4350000,3695000,Lägenhet,Bostadsrätt,2 ,"49,5 ",True,5 av 6,True,2008,2815,7200
Lugnets allé 43,Hammarby Sjöstad,Stockholms kommun,2022-04-26,4100000,3495000,Lägenhet,Bostadsrätt,2 ,48 ,True,1 av 6,True,2002,2299,4200
"Korphoppsgatan 25, vån 3/3 i Gårdshus",Hammarby Sjöstad,Stockholms kommun,2022-04-25,6000000,4995000,Lägenhet,Bostadsrätt,2 ,64 ,True,3 av 3,True,2002,3489,8400
"Sjöfartsgatan 15, accepterat pris",Hammarby Sjöstad,Stockholms kommun,2022-04-08,3800000,3800000,Lägenhet,Bostadsrätt,2 ,44 ,True,6 av 7,True,2008,2502,4200
"Styrbordsgatan 13, pl 3",Hammarby Sjöstad,Stockholms kommun,2022-03-31,5500000,4995000,Lägenhet,Bostadsrätt,2 ,60 ,False,3 av 5,True,2003,4004,4800
Per Ludvig Lindgrens Terrass 2,Hammarby Sjöstad - Henriksdalshamnen,Stockholms kommun,2022-03-29,5990000,5595000,Lägenhet,Bostadsrätt,2 ,66 ,True,3 av 5,True,2011,3485,5040
Korphoppsgatan 40,Hammarby Sjöstad,Stockholms kommun,2022-03-29,4800000,4395000,Lägenhet,Bostadsrätt,2 ,"59,5 ",False,,,2002,4043,7200
Redargatan 11,Hammarby Sjöstad,Stockholms kommun,2022-03-28,4800000,3995000,Lägenhet,Bostadsrätt,2 ,"59,5 ",True,2 av 5,True,2008,3102,7440
"Fredriksdalsgatan 24, 1 tr",Hammarby Sjöstad,Stockholms kommun,2022-03-24,4000000,3595000,Lägenhet,Bostadsrätt,2 ,"54,5 ",False,1 av 8,True,2018,2929,9600
"Fendergatan 6, 6tr",Hammarby Sjöstad,Stockholms kommun,2022-03-14,4500000,3950000,Lägenhet,Bostadsrätt,2 ,51 ,True,6 av 6,True,2009,3045,6600
Midskeppsgatan 12,Hammarby Sjöstad,Stockholms kommun,2022-03-11,5000000,4295000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 6,True,2009,2990,2681
"Redargatan 5, 5tr",Hammarby Sjöstad,Stockholms kommun,2022-03-10,4000000,3250000,Lägenhet,Bostadsrätt,2 ,"45,5 ",True,5 av 6,True,2009,2466,7800
"Korphoppsgatan 25, 1 tr i gårdshus!",Hammarby Sjöstad,Stockholms kommun,2022-03-09,6000000,5250000,Lägenhet,Bostadsrätt,2 ,68 ,True,1 av 3,True,2002,3673,8400
Sickla kanalgata 6,Hammarby Sjöstad,Stockholms kommun,2022-02-24,5750000,4995000,Lägenhet,Bostadsrätt,2 ,61 ,True,2 av 5,True,2002,2802,5400
"Stapelgatan 4, 6 tr",Hammarby Sjöstad,Stockholms kommun,2022-02-21,6400000,5495000,Lägenhet,Bostadsrätt,2 ,69 ,True,6 av 6,True,2013,3101,10344
Sickla Kanalgata 20,Hammarby Sjöstad,Stockholms kommun,2022-02-17,5700000,4195000,Lägenhet,Bostadsrätt,2 ,58 ,True,1 av 4,True,2002,3509,5184
