Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Åkerbladsgatan 8, 2tr",Hammarbyhöjden,Stockholms kommun,2022-08-29,3050000,2795000,Lägenhet,Bostadsrätt,2 ,43 ,True,2,False,1936,3163,4200
Svalövsvägen 12,Björkhagen,Stockholms kommun,2022-08-26,3040000,2800000,Lägenhet,Bostadsrätt,2 ,58 ,True,1 av 3,False,1949,2649,7536
Holmögaddsvägen 22,Kärrtorp,Stockholms kommun,2022-08-26,3200000,2450000,Lägenhet,Bostadsrätt,2 ,"58,9 ",True,2 av 4,True,1997,3885,5160
Per Lindeströms väg 105,Hammarbyhöjden,Stockholms kommun,2022-08-25,3000000,2750000,Lägenhet,Bostadsrätt,2 ,41 ,True,2 av 3,False,1944,3092,7500
"Garagevägen 26, 2 tr",Blåsut,Stockholms kommun,2022-08-24,4255000,3995000,Lägenhet,Bostadsrätt,2 ,"60,5 ",True,2 av 6,True,2019,3117,4944
Fyrskeppsvägen 134,Kärrtorp,Stockholms kommun,2022-08-22,2900000,2695000,Lägenhet,Bostadsrätt,2 ,56 ,True,3 av 3,False,1949,3975,5490
"Pilotgatan 20, 3tr",Skarpnäck,Stockholms kommun,2022-08-22,2625000,2650000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,3 av 4,True,1984,3726,7968
Garagevägen 26,Blåsut,Stockholms kommun,2022-08-22,3100000,2995000,Lägenhet,Bostadsrätt,2 ,41 ,True,3 av 6,True,2019,2241,4800
Svartågatan 61,Bagarmossen,Stockholms kommun,2022-08-20,2425000,2195000,Lägenhet,Bostadsrätt,2 ,54 ,True,3 av 3,False,1954,3870,3487
"Forsskålsgatan 10, 1,5 tr",Johanneshov,Stockholms kommun,2022-08-20,2565000,2350000,Lägenhet,Bostadsrätt,2 ,33 ,True,1,False,1942,2250,4800
"Mariestadsvägen 12, 2tr",Hammarbyhöjden,Stockholms kommun,2022-08-19,2825000,2650000,Lägenhet,Bostadsrätt,2 ,"40,5 ",True,2 av 3,False,1942,3202,5500
Luftskeppsgatan 4,Skarpnäck,Stockholms kommun,2022-08-11,2525000,2150000,Lägenhet,Bostadsrätt,2 ,62 ,True,2 av 3,True,1989,4164,4300
Kolbäcksgränd 26,Bagarmossen,Stockholms kommun,2022-08-11,2520000,2100000,Lägenhet,Bostadsrätt,2 ,58 ,True,2 av 3,False,1954,3952,5760
Sofielundsvägen 15,Blåsut,Stockholms kommun,2022-08-10,4300000,3995000,Lägenhet,Bostadsrätt,2 ,65 ,True,3 av 5,True,2013,3821,5400
Garagevägen 21,Blåsut,Stockholms kommun,2022-08-10,3300000,,Lägenhet,Bostadsrätt,2 ,48 ,True,2 av 5,True,2015,3359,4668
Finn Malmgrens väg 58,Hammarbyhöjden,Stockholms kommun,2022-08-08,2950000,2475000,Lägenhet,Bostadsrätt,2 ,41 ,True,2 av 3,False,1939,2847,5900
Båstadsvägen 21,Björkhagen / Hammarbyhöjden,Stockholms kommun,2022-07-30,3150000,2995000,Lägenhet,Bostadsrätt,2 ,48 ,True,1 av 4,True,2006,    for index, keys in enumerate(property_key_details):

                if (keys == "Begärt pris"):
                    listings[keys] = "".join(property_value_details[index].strip('kr').split())

                elif (keys == "Bostadstyp"):
                    listings[keys] = property_value_details[index]

                elif(keys == "Upplåtelseform"):
                    listings[keys] = property_value_details[index]
                    
                elif(keys == "Antal rum"):
                    listings[keys] = property_value_details[index].strip('rum')

                elif(keys == "Boarea"):
                    listings[keys] = property_value_details[index].strip('m²')

                elif(keys == "Balkong"):
                    balle = property_value_details[index]
                    if(balle == "Ja"):
                        listings[keys] = True
                    else:
                        listings[keys] = False

                elif(keys == "Våning"):
                    listings[keys] = property_value_details[index].split(',')[0]
                    hiss = property_value_details[index].split(',')[-1].strip()
                    if (hiss == "hiss finns"):
                        listings["Elevator"] = True 
                    else:
                        listings["Elevator"] = False 
                        
                elif(keys == "Byggår"):
                    listings[keys] = property_value_details[index]

                elif(keys == "Avgift/månad"):
                    listings[keys] = "".join(property_value_details[index].strip('kr/mån').split())

                elif(keys == "Driftskostnad"):
                    listings[keys] = "".join(property_value_details[index].strip('kr/år').split())

            self.listings.append(dict(listings))3503,3960
Glidflyktsgatan 2,Skarpnäck,Stockholms kommun,2022-07-22,1775000,1995000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,2 av 3,True,1985,4319,4200
Alingsåsvägen 56,Hammarbyhöjden,Stockholms kommun,2022-07-22,3900000,4000000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 3,False,1944,3442,5064
"Thunbergsgatan 6, högst upp i huset!",Hammarbyhöjden,Stockholms kommun,2022-07-20,3100000,2795000,Lägenhet,Bostadsrätt,2 ,45 ,True,3 av 3,False,1939,3210,2160
"Simrishamnsvägen 19, 3 tr",Björkhagen,Stockholms kommun,2022-07-07,3550000,3350000,Lägenhet,Bostadsrätt,2 ,54 ,True,3,True,1946,2822,6588
Garagevägen 32,Blåsut,Stockholms kommun,2022-07-01,3650000,3500000,Lägenhet,Bostadsrätt,2 ,"45,5 ",True,5 av 6,True,2019,2601,7400
Hässleholmsvägen 7,Björkhagen,Stockholms kommun,2022-06-21,3350000,2995000,Lägenhet,Bostadsrätt,2 ,52 ,True,1,True,1947,3128,8772
"Pilvingegatan 42, 5tr",Skarpnäck,Stockholms kommun,2022-06-20,2300000,2300000,Lägenhet,Bostadsrätt,2 ,56 ,True,5 av 5,True,1986,3479,5700
Hållövägen 17,Blåsut,Stockholms kommun,2022-06-16,3150000,2995000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 6,True,2013,2240,4200
Vingavägen 8,Blåsut,Stockholms kommun,2022-06-16,3200000,2895000,Lägenhet,Bostadsrätt,2 ,46 ,True,3 av 5,True,2012,2835,9960
Simrishamnsvägen 19,Björkhagen,Stockholms kommun,2022-06-16,3150000,2950000,Lägenhet,Bostadsrätt,2 ,52 ,True,1 av 6,True,1948,2758,4471
Drakflygargatan 6,Skarpnäck,Stockholms kommun,2022-06-10,2400000,2195000,Lägenhet,Bostadsrätt,2 ,59 ,True,2 av 3,True,1986,3464,6000
"Bergsrådsvägen 40, 1tr",Bagarmossen,Stockholms kommun,2022-06-09,3340000,2700000,Lägenhet,Bostadsrätt,2 ,54 ,True,1 av 3,False,1953,3614,6600
Palandergatan 19,Hammarbyhöjden,Stockholms kommun,2022-06-09,2750000,2395000,Lägenhet,Bostadsrätt,2 ,45 ,False,1 av 3,False,1938,3095,5850
Forsskålsgatan 14 1tr,Hammarbyhöjden,Stockholms kommun,2022-06-04,2960000,2750000,Lägenhet,Bostadsrätt,2 ,41 ,True,1 av 3,False,1942,3410,3000
Svalövsvägen 10,Björkhagen,Stockholms kommun,2022-06-03,3700000,3495000,Lägenhet,Bostadsrätt,2 ,58 ,True,2 av 3,False,1949,2649,5400
Båstadsvägen 2,Björkhagen,Stockholms kommun,2022-06-02,4400000,3350000,Lägenhet,Bostadsrätt,2 ,56 ,True,2 av 3,False,1949,3229,6480
Malmövägen 30,Hammarbyhöjden,Stockholms kommun,2022-06-01,4200000,3495000,Lägenhet,Bostadsrätt,2 ,51 ,True,1 av 3,False,1946,3482,3500
"Finn Malmgrens väg 52, 2 tr",Hammarbyhöjden,Stockholms kommun,2022-06-01,3320000,2595000,Lägenhet,Bostadsrätt,2 ,45 ,True,2 av 3,False,1939,3235,4764
Kalmgatan 19,Hammarbyhöjden,Stockholms kommun,2022-06-01,2650000,2350000,Lägenhet,Bostadsrätt,2 ,38 ,False,3 av 3,False,1942,2100,6800
"Ronnebyvägen 28, 3tr",Björkhagen,Stockholms kommun,2022-05-31,4200000,3650000,Lägenhet,Bostadsrätt,2 ,57 ,True,3 av 3,False,1948,3446,10332
Fyrskeppsvägen 36,Kärrtorp,Stockholms kommun,2022-05-30,3600000,2950000,Lägenhet,Bostadsrätt,2 ,62 ,True,2 av 3,False,1949,3875,9276
Vinggatan 14,Skarpnäck,Stockholms kommun,2022-05-26,2550000,2275000,Lägenhet,Bostadsrätt,2 ,"63,5 ",True,2 av 6,True,1986,4009,3600
Understensvägen 107,Björkhagen,Stockholms kommun,2022-05-25,6250000,4495000,Lägenhet,Bostadsrätt,2 ,"58,5 ",False,,,1995,3894,12672
Lidköpingsvägen 49,Hammarbyhöjden,Stockholms kommun,2022-05-24,3500000,2995000,Lägenhet,Bostadsrätt,2 ,48 ,True,1 av 3,False,1942,3719,6600
Finngrundsvägen 5,Hammarbyhöjden,Stockholms kommun,2022-05-24,4450000,3995000,Lägenhet,Bostadsrätt,2 ,"60,5 ",True,2 av 6,True,2019,3078,4680
"Svartågatan 61, 1tr",Bagarmossen,Stockholms kommun,2022-05-20,2920000,2600000,Lägenhet,Bostadsrätt,2 ,54 ,True,1 av 3,False,1954,3871,7800
Svartågatan 49,Bagarmossen,Stockholms kommun,2022-05-19,2725000,2495000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 3,False,1954,3902,5300
Fallskärmsgatan 1,Skarpnäcks Gård,Stockholms kommun,2022-05-19,2300000,1995000,Lägenhet,Bostadsrätt,2 ,"64,7 ",True,3 av 3,True,1983,4194,6720
"Olaus Magnus väg 44, 2 tr",Hammarbyhöjden,Stockholms kommun,2022-05-17,2700000,2450000,Lägenhet,Bostadsrätt,2 ,39 ,True,2 av 3,False,1939,3142,12024
