Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Bäckvägen 63,Midsommarkransen/Telefonplan,Stockholms kommun,2022-08-17,3050000,2995000,Lägenhet,Bostadsrätt,2 ,46 ,True,2 av 3,False,1945,3337,9349
"Valborgsmässovägen 38, vån 2",Midsommarkransen/Telefonplan,Stockholms kommun,2022-08-17,2850000,2495000,Lägenhet,Bostadsrätt,2 ,"34,5 ",False,2 av 3,False,1940,2291,6854
"Midsommarvägen 19, vån 2",Midsommarkransen,Stockholms kommun,2022-08-17,3125000,2995000,Lägenhet,Bostadsrätt,2 ,43 ,True,2 av 4,False,1944,3182,4900
"Oktobergatan 8, vån 2",Midsommarkransen,Stockholms kommun,2022-08-17,3240000,2695000,Lägenhet,Bostadsrätt,2 ,41 ,True,2 av 3,False,1939,2382,7500
Tellusborgsvägen 35,Midsommarkransen,Stockholms kommun,2022-08-15,3700000,3490000,Lägenhet,Bostadsrätt,2 ,56 ,True,4 av 4,False,1949,2692,4091
"LM Ericssons Väg 21, vån 2",Telefonplan,Stockholms kommun,2022-08-12,3450000,3450000,Lägenhet,Bostadsrätt,2 ,51 ,False,2 av 3,False,1940,2842,3470
Svandammsvägen 31B,Midsommarkransen,Stockholms kommun,2022-07-26,3700000,3595000,Lägenhet,Bostadsrätt,2 ,58 ,True,3 av 3,True,1939,3770,6298
Valborgsmässovägen 9,Midsommarkransen/Telefonplan,Stockholms kommun,2022-07-18,3300000,3195000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 3,False,1939,2981,5500
"Kransbindarvägen 11, 2 tr.",Midsommarkransen/Telefonplan,Stockholms kommun,2022-07-12,2900000,2395000,Lägenhet,Bostadsrätt,2 ,35 ,False,2 av 3,False,1940,2235,4500
Cedergrensvägen 31,Midsommarkransen/Telefonplan,Stockholms kommun,2022-07-11,3300000,3195000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 3,False,1939,2981,5500
"Cedergrensvägen 59, vån 3",Midsommarkransen/Telefonplan,Stockholms kommun,2022-07-07,3500000,3500000,Lägenhet,Bostadsrätt,2 ,51 ,False,3 av 3,False,1939,2981,8609
"Svandammsvägen 8, 1 tr",Midsommarkransen,Stockholms kommun,2022-06-22,3200000,2995000,Lägenhet,Bostadsrätt,2 ,39 ,False,1 av 4,False,1929,1892,8664
"Kransbindarvägen 29, 3 tr.",Midsommarkransen/Telefonplan,Stockholms kommun,2022-06-10,2750000,2395000,Lägenhet,Bostadsrätt,2 ,35 ,False,3 av 3,False,1940,2235,9377
"LM Ericssons Väg 2, vån 3 av 4",Telefonplan,Stockholms kommun,2022-06-10,4615000,3895000,Lägenhet,Bostadsrätt,2 ,60 ,True,3 av 4,True,2009,3823,7104
Midsommarvägen 9,Midsommarkransen,Stockholms kommun,2022-06-03,2600000,2495000,Lägenhet,Bostadsrätt,2 ,42 ,False,1 av 3,False,1939,3046,4000
Svandammsvägen 17A,Midsommarkransen,Stockholms kommun,2022-05-31,2900000,2395000,Lägenhet,Bostadsrätt,2 ,31 ,True,2 av 4,True,1938,2169,5500
Cedergrensvägen 35,Midsommarkransen - Telefonplan,Stockholms kommun,2022-05-27,3750000,3195000,Lägenhet,Bostadsrätt,2 ,51 ,False,3 av 3,False,1939,2981,6317
