Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Timotejgatan 6, vån 3",Södermalm,Stockholms kommun,2022-09-01,2845000,2795000,Lägenhet,Bostadsrätt,2 ,"35,5 ",False,3 av 3,False,1930,2086,5880
"Heleneborgsgatan 7A, 2tr, Accepterat pris!",Södermalm,Stockholms kommun,2022-09-01,6210000,6495000,Lägenhet,Bostadsrätt,2 ,67 ,True,2 av 5,True,1917,3009,5892
"Högbergsgatan 22, 2tr",Södermalm Katarina,Stockholms kommun,2022-08-31,4495000,4495000,Lägenhet,Bostadsrätt,2 ,47 ,True,2,True,1936,2813,
"Hornsgatan 149, 7 tr",Södermalm - Hornstull,Stockholms kommun,2022-08-31,4750000,4395000,Lägenhet,Bostadsrätt,2 ,45 ,False,7 av 7,True,1930,2580,10800
"Bergsundsgatan 19, 4 tr",Södermalm,Stockholms kommun,2022-08-31,4195000,4195000,Lägenhet,Bostadsrätt,2 ,45 ,True,4,True,1928,2527,4800
"Ploggatan 2, 3tr",Södermalm - Katarina Sofia,Stockholms kommun,2022-08-31,3800000,3495000,Lägenhet,Bostadsrätt,2 ,38 ,False,3,True,1931,2295,
"Anders Reimers väg 15, 6 tr",Reimersholme,Stockholms kommun,2022-08-30,5300000,4750000,Lägenhet,Bostadsrätt,2 ,55 ,True,6 av 6,True,1943,3616,6600
"Folkungagatan 130, 5 tr",Södermalm,Stockholms kommun,2022-08-29,6600000,5995000,Lägenhet,Bostadsrätt,2 ,62 ,True,5 av 6,True,1929,3067,5000
"Lundagatan 39A, 2 tr",Södermalm,Stockholms kommun,2022-08-29,3650000,3600000,Lägenhet,Bostadsrätt,2 ,34 ,False,2 av 3,False,1904,2484,6000
Ringvägen 60,Katarina,Stockholms kommun,2022-08-26,3720000,3795000,Lägenhet,Bostadsrätt,2 ,48 ,True,1,True,1944,3100,6000
Tideliusgatan 33,Södermalm - Katarina Sofia,Stockholms kommun,2022-08-26,3850000,3750000,Lägenhet,Bostadsrätt,2 ,43 ,True,,,1968,1158,
Allhelgonagatan 7,Södermalm,Stockholms kommun,2022-08-26,4325000,4295000,Lägenhet,Bostadsrätt,2 ,50 ,False,-1 av 3,True,1935,2011,6600
Åsögatan 174 *Accept pris*,Södermalm,Stockholms kommun,2022-08-26,4030000,4250000,Lägenhet,Bostadsrätt,2 ,46 ,,3,True,1929,2394,
Timotejgatan 6,Katarina,Stockholms kommun,2022-08-25,3000000,2950000,Lägenhet,Bostadsrätt,2 ,"35,5 ",,1,False,,2086,4000
Tobaksspinnargatan 10,Södermalm Högalid,Stockholms kommun,2022-08-25,4470000,4295000,Lägenhet,Bostadsrätt,2 ,50 ,True,2 av 6,True,1932,2648,
"Långholmsgatan 17, 6tr",Södermalm/Hornstull,Stockholms kommun,2022-08-25,4550000,4695000,Lägenhet,Bostadsrätt,2 ,61 ,True,6 av 7,True,1967,3008,
"Tobaksspinnargatan 1, 4tr",Hornstull,Stockholms kommun,2022-08-25,5500000,5500000,Lägenhet,Bostadsrätt,2 ,57 ,True,4 av 5,True,1929,2980,5000
Åsögatan 96,Södermalm,Stockholms kommun,2022-08-25,4000000,3750000,Lägenhet,Bostadsrätt,2 ,43 ,,1 av 7,True,1936,2181,6100
Brännkyrkagatan 66,Maria,Stockholms kommun,2022-08-25,3950000,,Lägenhet,Bostadsrätt,2 ,40 ,,2 av 6,True,1964,1584,
Möregatan 7,Södermalm,Stockholms kommun,2022-08-24,3740000,3495000,Lägenhet,Bostadsrätt,2 ,37 ,False,6 av 6,True,1936,2656,7820
Brännerigatan 5,Södermalm - SoFo,Stockholms kommun,2022-08-24,5070000,4675000,Lägenhet,Bostadsrätt,2 ,52 ,False,,,1926,2913,4000
"Krukmakargatan 50A, 3tr ö.g.",Högalid,Stockholms kommun,2022-08-23,5650000,,Lägenhet,Andel i bostadsförening,2 ,62 ,True,3 av 4,False,1909,2478,8420
"Anders Reimers Väg 11, 3 tr",Reimersholme,Stockholms kommun,2022-08-23,4880000,4250000,Lägenhet,Bostadsrätt,2 ,52 ,,3 av 7,True,1943,3523,6813
"Folkskolegatan 5, 2 tr",Södermalm,Stockholms kommun,2022-08-23,3550000,3195000,Lägenhet,Bostadsrätt,2 ,33 ,False,2,True,1937,2359,
"Folkungagatan 63, 2,5 tr mot gård!",Södermalm,Stockholms kommun,2022-08-23,6000000,5495000,Lägenhet,Bostadsrätt,2 ,51 ,True,2,True,1912,2618,5880
"Åsögatan 92, 5 tr",Södermalm,Stockholms kommun,2022-08-23,3600000,3495000,Lägenhet,Bostadsrätt,2 ,34 ,True,5,True,1936,2021,6600
"Högalidsgatan 48A, 3.5 tr",Södermalm Högalid,Stockholms kommun,2022-08-22,6600000,5795000,Lägenhet,Bostadsrätt,2 ,60 ,True,3,True,1912,2872,8532
"Folkungagatan 114, 2 tr",Södermalm - Sofia,Stockholms kommun,2022-08-20,3635000,3475000,Lägenhet,Bostadsrätt,2 ,37 ,True,2 av 5,True,1939,1740,6680
