Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Torsplan 8,Hagastaden,Stockholms kommun,2022-06-14,6600000,6495000,Lägenhet,Bostadsrätt,2 ,59 ,True,7 av 36,True,2018,3656,3718
"Torsplan 8, våning 8",Vasastan/Hagastaden,Stockholms kommun,2022-05-30,9650000,,Lägenhet,Bostadsrätt,3 ,77 ,True,8,True,2018,4516,
"Torsplan 8, vån 22",Hagastaden,Stockholms kommun,2022-05-14,9250000,9250000,Lägenhet,Bostadsrätt,2 ,62 ,True,22 av 35,True,2019,3807,
"Torsplan 10, 2 tr",Vasastan,Stockholms kommun,2022-04-29,17250000,17500000,Lägenhet,Bostadsrätt,"5,5 ",175 ,True,,,2018,9060,12000
"Torsplan 8, våning 13",Vasastan/Hagastaden,Stockholms kommun,2022-04-27,14500000,,Lägenhet,Bostadsrätt,4 ,85 ,True,13,True,2018,4881,
"Torsplan 8, våning 5",Vasastan/Hagastaden,Stockholms kommun,2022-04-25,7800000,7495000,Lägenhet,Bostadsrätt,3 ,63 ,True,5,True,2018,3847,
"Torsplan 10, vån 13",Vasastan/Hagastaden,Stockholms kommun,2022-04-23,7000000,6150000,Lägenhet,Bostadsrätt,2 ,51 ,True,13,True,2020,3354,
"Torsplan 8, vån 29",Vasastaden,Stockholms kommun,2022-04-22,35500000,35000000,Lägenhet,Bostadsrätt,6 ,163 ,True,29,True,2019,8532,
Torsplan 8,Vasastan / Hagastaden,Stockholms kommun,2022-04-18,16900000,16900000,Lägenhet,Bostadsrätt,3 ,95 ,True,,,2018,5254,3718
"Torsplan 8, 13 tr",Hagastaden/Vasastan,Stockholms kommun,2022-04-08,9000000,9000000,Lägenhet,Bostadsrätt,2 ,58 ,True,13 av 36,True,2018,3621,5000
"Torsplan 10, vån 13",Vasastan/Hagastaden,Stockholms kommun,2022-04-06,16950000,16950000,Lägenhet,Bostadsrätt,3 ,88 ,True,13 av 34,True,2020,5316,
Torsplan 10,Vasastan/Torsplan,Stockholms kommun,2022-04-03,11500000,10950000,Lägenhet,Bostadsrätt,3 ,74 ,,19 av 34,False,,4413,
Torsplan 8 våning 14,Vasastan/Hagastaden,Stockholms kommun,2022-04-01,9500000,8495000,Lägenhet,Bostadsrätt,2 ,61 ,True,14,True,2018,3766,
"Torsplan 10, vån 27",Vasastan/Hagastaden,Stockholms kommun,2022-03-18,15900000,15900000,Lägenhet,Bostadsrätt,3 ,88 ,True,27,True,2018,5057,
Torsplan 10 våning 9,Vasastan/Hagastaden,Stockholms kommun,2022-03-18,14000000,12495000,Lägenhet,Bostadsrätt,3 ,92 ,True,9,True,2020,5241,
"Torsplan 8, våning 14",Vasastan/Hagastaden,Stockholms kommun,2022-03-14,11200000,10495000,Lägenhet,Bostadsrätt,3 ,77 ,True,14,True,2019,4516,
"Torsplan 8, vån 7",Hagastaden,Stockholms kommun,2022-03-10,10000000,8795000,Lägenhet,Bostadsrätt,3 ,86 ,True,7 av 35,True,2019,4916,
Torsplan 10,Hagastaden,Stockholms kommun,2022-03-04,15600000,15600000,Lägenhet,Bostadsrätt,4 ,93 ,True,,,2020,5287,
Torsplan 8 vån 2,Vasastaden,Stockholms kommun,2022-03-01,10125000,10125000,Lägenhet,Bostadsrätt,4 ,88 ,True,,,2017,5017,
"Torsplan 8, våning 7",Hagastaden,Stockholms kommun,2022-02-18,9000000,8495000,Lägenhet,Bostadsrätt,3 ,65 ,True,7,True,2018,3950,
Torsplan 10,Hagastaden,Stockholms kommun,2022-02-18,12800000,,Lägenhet,Bostadsrätt,3 ,92 ,False,,,2020,5241,
"Torsplan 10, vån 9",Vasastaden,Stockholms kommun,2022-02-11,11000000,11000000,Lägenhet,Bostadsrätt,3 ,76 ,True,9,True,2020,4505,
"Torsplan 10, 7 tr",Hagastaden/Vasastan,Stockholms kommun,2022-02-09,7250000,7250000,Lägenhet,Bostadsrätt,2 ,56 ,True,7 av 33,True,2018,3584,5000
"Torsplan 10, vån 6",Vasastan,Stockholms kommun,2022-01-30,9000000,7995000,Lägenhet,Bostadsrätt,3 ,68 ,True,6,True,,4136,
"Torsplan 10, vån 10",Vasastan/Hagastaden,Stockholms kommun,2022-01-30,14600000,13495000,Lägenhet,Bostadsrätt,4 ,93 ,True,10,True,2020,5287,
Torsplan 8,Vasastaden,Stockholms kommun,2022-01-27,14500000,,Lägenhet,Bostadsrätt,4 ,86 ,True,18,True,2019,4933,
"Torsplan 8, vån 9",Hagastaden,Stockholms kommun,2022-01-14,10000000,8995000,Lägenhet,Bostadsrätt,3 ,65 ,True,9,True,2019,3950,
Torsplan 8,Torsplan,Stockholms kommun,2022-01-13,7250000,6495000,Lägenhet,Bostadsrätt,2 ,59 ,True,9,True,2019,3657,
"Torsplan 8, 6tr",Vasastan / Torsplan,Stockholms kommun,2022-01-11,11200000,10500000,Lägenhet,Bostadsrätt,4 ,85 ,True,6 av 36,True,2016,4908,6600
Torsplan 8,Hagastaden - Vasastan,Stockholms kommun,2021-12-20,6800000,6900000,Lägenhet,Bostadsrätt,2 ,69 ,True,2 av 36,True,2016,4132,5028
Torsplan 10,Vasastan/Hagastaden,Stockholms kommun,2021-12-19,15700000,15700000,Lägenhet,Bostadsrätt,3 ,87 ,True,29 av 34,True,2018,5011,
"Torsplan 8, plan 3",Vasastan/Hagastan,Stockholms kommun,2021-11-29,11500000,11675000,Lägenhet,Bostadsrätt,5 ,114 ,True,3 av 35,True,2016,6226,
"Torsplan 10, vån 14",Vasastan/Hagastaden,Stockholms kommun,2021-11-23,10400000,9995000,Lägenhet,Bostadsrätt,2 ,75 ,True,14 av 34,True,2020,4458,
"Torsplan 10, våning 14",Vasastaden,Stockholms kommun,2021-11-19,11000000,10995000,Lägenhet,Bostadsrätt,3 ,68 ,True,14,True,2020,4136,
Torsplan 8,Hagastaden,Stockholms kommun,2021-11-19,10000000,9495000,Lägenhet,Bostadsrätt,4 ,85 ,True,,,2018,4869,
