Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Hälsingegatan 3, 2 tr ög",Vasastan,Stockholms kommun,2022-09-01,7000000,6495000,Lägenhet,Andel i bostadsförening,2 ,55 ,True,2 av 5,False,1899,1882,4277
Tomtebogatan 3,Vasastan,Stockholms kommun,2022-09-01,5200000,4850000,Lägenhet,Bostadsrätt,2 ,38 ,True,5,True,1927,1052,8600
Rörstrandsgatan 14A,Vasastan,Stockholms kommun,2022-08-31,6225000,5995000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 5,False,1914,1757,8040
Birkagatan 32,Vasastan,Stockholms kommun,2022-08-31,7400000,6995000,Lägenhet,Bostadsrätt,2 ,64 ,True,1 av 5,True,1904,1313,7200
Gävlegatan 32,Vasastan - Hagastaden,Stockholms kommun,2022-08-30,4450000,4750000,Lägenhet,Bostadsrätt,2 ,55 ,False,1 av 14,True,2017,2750,4920
"Gävlegatan 26, vån 10",Vasastan/Hagastaden,Stockholms kommun,2022-08-30,4825000,4900000,Lägenhet,Bostadsrätt,2 ,44 ,True,10 av 14,True,2017,2200,
"Gästrikegatan 14a, Gårdshus",Vasaparken,Stockholms kommun,2022-08-30,4300000,3995000,Lägenhet,Bostadsrätt,2 ,33 ,,0 av 4,False,1899,1646,4500
Vegagatan 6A,Vasastan,Stockholms kommun,2022-08-29,5200000,4795000,Lägenhet,Bostadsrätt,2 ,48 ,False,1 av 4,False,1897,2249,5460
"Tomtebogatan 28 A, 4tr",Vasastan - Birkastan,Stockholms kommun,2022-08-29,7050000,6995000,Lägenhet,Bostadsrätt,2 ,60 ,True,4 av 5,True,1906,1712,
Tre Liljor 2B,Vasastan,Stockholms kommun,2022-08-28,4800000,4500000,Lägenhet,Bostadsrätt,2 ,41 ,True,1 av 4,True,1924,2186,6700
