Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Hälsingegatan 3, 2 tr ög",Vasastan,Stockholms kommun,2022-09-01,7000000,6495000,Lägenhet,Andel i bostadsförening,2 ,55 ,True,2 av 5,False,1899,1882,4277
Tomtebogatan 3,Vasastan,Stockholms kommun,2022-09-01,5200000,4850000,Lägenhet,Bostadsrätt,2 ,38 ,True,5,True,1927,1052,8600
"Atlasgatan 16, 4tr",Vasastaden,Stockholms kommun,2022-08-31,3100000,2600000,Lägenhet,Bostadsrätt,1 ,27 ,False,4 av 5,True,1927,1549,4200
Rörstrandsgatan 14A,Vasastan,Stockholms kommun,2022-08-31,6225000,5995000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 5,False,1914,1757,8040
Tomtebogatan 42,Vasastan - Birkastan,Stockholms kommun,2022-08-31,2750000,2750000,Lägenhet,Bostadsrätt,1 ,"26,5 ",,,,1907,1524,
Atlasgatan 13,Vasastan - Atlas,Stockholms kommun,2022-08-31,3000000,2795000,Lägenhet,Bostadsrätt,"1,5 ",25 ,False,1,True,1928,1049,
Birkagatan 32,Vasastan,Stockholms kommun,2022-08-31,7400000,6995000,Lägenhet,Bostadsrätt,2 ,64 ,True,1 av 5,True,1904,1313,7200
"Västmannagatan 79, 3tr",Vasastan,Stockholms kommun,2022-08-31,10800000,10750000,Lägenhet,Bostadsrätt,3 ,92 ,True,3,False,1903,3755,5100
Norrtullsgatan 28,Vasastan,Stockholms kommun,2022-08-30,16400000,14500000,Lägenhet,Bostadsrätt,5 ,"168,5 ",True,1,True,1906,7283,15264
Gävlegatan 32,Vasastan - Hagastaden,Stockholms kommun,2022-08-30,4450000,4750000,Lägenhet,Bostadsrätt,2 ,55 ,False,1 av 14,True,2017,2750,4920
