Adress,Område,Region,Avstånd till T-centralen,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad
"Granbacken 22, 3 tr.",Bromma / Ulvsunda,Stockholms kommun,1938,2022-09-01,2495000,2495000,Lägenhet,Bostadsrätt,2 ,54 ,True,3 av 3,False,1952,3490,6000
Galonvägen 26,Bromma - Riksby,Stockholms kommun,1553,2022-09-01,3300000,,Lägenhet,Bostadsrätt,2 ,60 ,False,,,1942,3100,
Nockeby torg 27,Nockeby,Stockholms kommun,2308,2022-09-01,2730000,2495000,Lägenhet,Bostadsrätt,2 ,41 ,True,2 av 3,False,1938,1924,6000
Grönviksvägen 189,Nockebyhov,Stockholms kommun,2181,2022-09-01,3500000,2750000,Lägenhet,Bostadsrätt,2 ,59 ,False,1 av 3,False,1928,2786,5400
Hunnebergsvägen 18,Traneberg,Stockholms kommun,1557,2022-08-31,2850000,2995000,Lägenhet,Bostadsrätt,2 ,51 ,,1 av 3,False,,2782,6000
Klädesvägen 40,Brommaplan,Stockholms kommun,1303,2022-08-31,3400000,3400000,Lägenhet,Bostadsrätt,2 ,58 ,True,4,True,2017,3287,
Knypplerskevägen 6,Bromma - Åkeshov,Stockholms kommun,1530,2022-08-31,2325000,2095000,Lägenhet,Bostadsrätt,2 ,42 ,False,3 av 3,False,1942,3232,7392
Karen Blixens Gata 7,Blackeberg,Stockholms kommun,2034,2022-08-30,3150000,3150000,Lägenhet,Bostadsrätt,2 ,62 ,True,2,True,,3604,5800
Tegelbergsvägen 36,Mariehäll,Stockholms kommun,1650,2022-08-30,2350000,2195000,Lägenhet,Bostadsrätt,2 ,27 ,False,1 av 3,False,1948,2928,1920
Spinnrocksvägen 3,Bromma - Riksby,Stockholms kommun,1696,2022-08-30,2450000,2295000,Lägenhet,Bostadsrätt,2 ,40 ,True,3 av 3,False,1939,2740,5760
Klintbacken 1,Bromma / Mariehäll,Stockholms kommun,1411,2022-08-30,2500000,2195000,Lägenhet,Bostadsrätt,2 ,"41,5 ",False,1 av 4,False,1944,2164,3000
Porfyrvägen 28,Traneberg,Stockholms kommun,1631,2022-08-30,2880000,2750000,Lägenhet,Bostadsrätt,2 ,40 ,True,1 av 4,False,1939,2690,5100
"Tranebergsvägen 107, vån 3/3",Traneberg,Stockholms kommun,1299,2022-08-28,3600000,3450000,Lägenhet,Bostadsrätt,2 ,"53,5 ",True,3 av 3,False,1945,3293,5400
Johannesfredsvägen 26B,Bromma Johannesfred,Stockholms kommun,2134,2022-08-26,2930000,2650000,Lägenhet,Bostadsrätt,2 ,60 ,False,,,1946,3603,7548
Klädesvägen 28,Bromma - Riksby,Stockholms kommun,1238,2022-08-26,2780000,2495000,Lägenhet,Bostadsrätt,2 ,42 ,False,,,2016,2380,5400
Spångavägen 30,Bromma,Stockholms kommun,1619,2022-08-26,2420000,2395000,Lägenhet,Bostadsrätt,2 ,56 ,,3,False,1940,3810,6720
Björkbacksvägen 48,Bromma - Ulvsunda,Stockholms kommun,1839,2022-08-26,2250000,1995000,Lägenhet,Bostadsrätt,2 ,45 ,False,1 av 3,False,1939,3864,7800
Klädesvägen 38,Bromma - Riksby,Stockholms kommun,1354,2022-08-26,3100000,2995000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 10,True,2016,3060,6000
Holbergsgatan 77,Bromma - Blackeberg,Stockholms kommun,1792,2022-08-25,2500000,2390000,Lägenhet,Bostadsrätt,2 ,59 ,True,,,1952,3796,
Knypplerskevägen 10,Bromma - Åkeshov,Stockholms kommun,1544,2022-08-25,2160000,1995000,Lägenhet,Bostadsrätt,2 ,42 ,False,3 av 3,False,1942,3232,5100
Alpvägen 23,Bromma / Mariehäll,Stockholms kommun,1670,2022-08-25,3600000,3295000,Lägenhet,Bostadsrätt,2 ,66 ,True,1 av 5,True,2017,3236,12276
Tranebergsvägen 91 - Accepterat pris!,Traneberg,Stockholms kommun,1329,2022-08-25,3575000,3650000,Lägenhet,Bostadsrätt,2 ,"53,5 ",True,1 av 3,False,1945,3146,4440
"Dukvägen 41, vån 3/3",Riksby,Stockholms kommun,1498,2022-08-25,3035000,2750000,Lägenhet,Bostadsrätt,2 ,51 ,True,3 av 3,False,,2968,
Karen Blixens Gata 7,Blackeberg,Stockholms kommun,2034,2022-08-24,3500000,2995000,Lägenhet,Bostadsrätt,2 ,62 ,True,11 av 12,True,2014,3604,8844
Björnsonsgatan 116,Bromma - Blackeberg,Stockholms kommun,1874,2022-08-24,2830000,2495000,Lägenhet,Bostadsrätt,2 ,59 ,True,3 av 3,False,1952,3288,6948
Suddagummans gata 10,Bromma / Annedal,Stockholms kommun,1900,2022-08-24,3250000,2995000,Lägenhet,Bostadsrätt,2 ,65 ,True,2 av 5,True,2013,4060,18240
Sareksvägen 11,Bromma - Traneberg,Stockholms kommun,1535,2022-08-24,3310000,2995000,Lägenhet,Bostadsrätt,2 ,47 ,True,3 av 3,False,1937,2279,4200
Mariehällsvägen 8,Bromma,Stockholms kommun,1374,2022-08-24,2900000,2995000,Lägenhet,Bostadsrätt,2 ,49 ,,0,True,,3339,
Registervägen 32,Abrahamsberg,Stockholms kommun,1281,2022-08-23,3000000,2595000,Lägenhet,Bostadsrätt,2 ,55 ,True,2 av 3,False,1945,3007,8100
