Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad
Lövkojsgränd 11,Hässelby Norra Villastad,Stockholms kommun,2022-09-01,4000000,3775000,Lägenhet,Bostadsrätt,4 ,106 ,,2 av 4,True,2020,5225,
Mörsilsgatan 6,Vällingby,Stockholms kommun,2022-08-31,1250000,1195000,Lägenhet,Bostadsrätt,1 ,20 ,False,1 av 4,False,1955,1630,
Ångermannagatan 176 vån 6,Vällingby Centrum,Stockholms kommun,2022-08-31,2895000,2895000,Lägenhet,Bostadsrätt,3 ,76 ,True,6 av 9,True,1954,4562,8300
"Råckstavägen 25, vån 6/6",Vällingby - Råcksta,Stockholms kommun,2022-08-31,2620000,2175000,Lägenhet,Bostadsrätt,2 ,54 ,True,6 av 6,True,2009,3424,
Lövkojsgränd 17,Hässelby Norra Villastad,Stockholms kommun,2022-08-31,2600000,2475000,Lägenhet,Bostadsrätt,3 ,67 ,,,,2020,3643,
"Enspännargatan 12A, vån 6/7",Hässelby Gård,Stockholms kommun,2022-08-31,1550000,1495000,Lägenhet,Bostadsrätt,1 ,33 ,True,6 av 7,True,2017,2353,3102
Rabattvägen 40,Vällingby-Johannelund,Stockholms kommun,2022-08-30,2595000,2595000,Lägenhet,Bostadsrätt,3 ,68 ,,5 av 5,True,2013,4746,4560
Gulddragargränd 52,Hässelby Grimsta,Stockholms kommun,2022-08-29,4250000,4395000,Lägenhet,Bostadsrätt,4 ,95 ,True,9 av 9,True,2007,5640,
Jämtlandsgatan 97,Vällingby Parkstad / Råcksta,Stockholms kommun,2022-08-28,2900000,2795000,Lägenhet,Bostadsrätt,2 ,66 ,,1 av 10,True,2018,3483,
Blomsterkungsvägen 116A,Hässelby Villastad Norra,Stockholms kommun,2022-08-28,1495000,1495000,Lägenhet,Bostadsrätt,1 ,"34,9 ",,-1 av 3,True,2019,1952,3300
"Melongatan 14, Vån 3",Hässelby Strand,Stockholms kommun,2022-08-28,3500000,3295000,Lägenhet,Bostadsrätt,4 ,92 ,True,3 av 4,True,2012,4876,7800
Grimstagatan 46 (Vån 2),Vällingby - Grimsta,Stockholms kommun,2022-08-26,2350000,2195000,Lägenhet,Bostadsrätt,3 ,80 ,True,2 av 3,False,1958,3663,4200
Multrågatan 21 - vån 9/9,Råcksta,Stockholms kommun,2022-08-26,2225000,2250000,Lägenhet,Bostadsrätt,3 ,73 ,True,9 av 9,True,1958,4621,
Härjedalsgatan 1,Vällingby,Stockholms kommun,2022-08-26,2050000,2050000,Lägenhet,Bostadsrätt,2 ,60 ,True,3 av 3,False,,3010,
Grimstagatan 60 (Vån 2),Vällingby - Grimsta,Stockholms kommun,2022-08-25,2375000,2250000,Lägenhet,Bostadsrätt,3 ,80 ,True,2 av 3,False,1958,3663,4200
Lövkojsgränd 21,Hässelby Norra Villastad,Stockholms kommun,2022-08-25,2000000,2000000,Lägenhet,Bostadsrätt,2 ,50 ,,,,2020,2791,3400
Aprikosgatan 29 (Vån 8),Hässelby Strand,Stockholms kommun,2022-08-25,3100000,2695000,Lägenhet,Bostadsrätt,3 ,73 ,True,8 av 8,True,1957,4859,7900
"Multrågatan 124, vån 1",Vällingby Parkstad / Råcksta,Stockholms kommun,2022-08-25,2500000,2295000,Lägenhet,Bostadsrätt,"3,5 ",80 ,True,1 av 3,False,1953,5542,9840
Multrågatan 17 (Våning 2),Vällingby Parkstad / Råcksta,Stockholms kommun,2022-08-25,2375000,2195000,Lägenhet,Bostadsrätt,2 ,63 ,True,2 av 4,True,2008,3601,4200
"Jämtlandsgatan 99, Vån 10 (13102/1902)",Vällingby Parkstad / Råcksta,Stockholms kommun,2022-08-25,4000000,3700000,Lägenhet,Bostadsrätt,3 ,79 ,,10 av 11,True,2018,4171,3600
Ångermannagatan 164,Vällingby Centrum,Stockholms kommun,2022-08-25,1650000,1650000,Lägenhet,Bostadsrätt,"1,5 ","35,5 ",False,1 av 9,True,1955,2203,3100
Duvedsvägen 5 (0154/0913),Vällingby Centrum,Stockholms kommun,2022-08-25,1320000,1320000,Lägenhet,Bostadsrätt,1 ,26 ,,,,1955,1863,3000
