Adress,Område,Region,Avstånd till T-centralen,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad,Länk
Styrmansgatan 5A,Östermalm,Stockholms kommun,682,2022-09-07,8750000,8475000,Lägenhet,Bostadsrätt,2 ,61 ,1,1 av 5,0,1887,2723,4800,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-styrmansgatan-5a-9081195383459425535
"Birger Jarlsgatan 78, 3tr",Östermalm - Vasastan,Stockholms kommun,629,2022-09-07,5600000,4850000,Lägenhet,Bostadsrätt,2 ,43.5 ,1,3 av 7,1,1994,1353,2500,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-vasastan-stockholms-kommun-birger-jarlsgatan-78,-3tr-7266191381388589315"
Drottning Kristinas väg 11,Vasastan Östermalm,Stockholms kommun,452,2022-09-07,3950000,3950000,Lägenhet,Bostadsrätt,2 ,49 ,0,,,1931,1722,,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-ostermalm-stockholms-kommun-drottning-kristinas-vag-11-4568485311767725839
Nybrogatan 38A,Östermalm,Stockholms kommun,664,2022-09-07,7850000,7975000,Lägenhet,Bostadsrätt,2 ,60 ,1,3 av 4,0,1863,2421,10200,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-nybrogatan-38a-4635285620582678933
Skeppargatan 21A,Östermalm,Stockholms kommun,688,2022-09-07,5700000,6000000,Lägenhet,Bostadsrätt,2 ,47 ,,0 av 4,0,1882,0,5500,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-skeppargatan-21a-2737423855770464728
Grevgatan 19,Östermalm,Stockholms kommun,804,2022-09-06,5350000,4950000,Lägenhet,Bostadsrätt,2 ,38 ,1,2 av 4,1,,1646,3600,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-grevgatan-19-5722277554988693919
Odengatan 12A,Östermalm,Stockholms kommun,827,2022-09-01,5500000,5395000,Lägenhet,Bostadsrätt,2 ,46 ,1,2 av 3,0,1892,990,4800,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-odengatan-12a-4450928589499528503
Karlavägen 95,Karlaplan,Stockholms kommun,507,2022-09-01,8300000,7950000,Lägenhet,Bostadsrätt,2 ,52 ,1,4,1,1925,2084,5000,https://www.hemnet.se/salda/lagenhet-2rum-karlaplan-stockholms-kommun-karlavagen-95-1295564445106806376
Grevgatan 49,Östermalm,Stockholms kommun,686,2022-08-31,4900000,4495000,Lägenhet,Bostadsrätt,2 ,40 ,0,,,1947,2120,,https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-grevgatan-49-6126578089879967204
"Körsbärsvägen 10, 3tr",Östermalm,Stockholms kommun,828,2022-08-31,3650000,3700000,Lägenhet,Bostadsrätt,2 ,35 ,1,3 av 5,1,1942,1608,,"https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-korsbarsvagen-10,-3tr-3742632586956089182"
