Adress,Område,Region,Avstånd till T-centralen,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad,Länk
Galonvägen 46,Bromma - Riksby,Stockholms kommun,1459,2022-09-08,2510000,2250000,Lägenhet,Bostadsrätt,2 ,41 ,1,1,0,1942,2396,3540,https://www.hemnet.se/salda/lagenhet-2rum-bromma-riksby-stockholms-kommun-galonvagen-46-1951919632933327831
Sigrid Undsets Gata 2,Bromma - Blackeberg,Stockholms kommun,1688,2022-09-07,2715000,2490000,Lägenhet,Bostadsrätt,2 ,55 ,1,1,0,1951,2478,,https://www.hemnet.se/salda/lagenhet-2rum-bromma-blackeberg-stockholms-kommun-sigrid-undsets-gata-2-7011466431088355097
Knypplerskevägen 21,Bromma - Åkeshov,Stockholms kommun,1594,2022-09-06,2440000,2195000,Lägenhet,Bostadsrätt,2 ,42.5 ,0,1,0,1944,2944,9360,https://www.hemnet.se/salda/lagenhet-2rum-bromma-akeshov-stockholms-kommun-knypplerskevagen-21-1406108372172128150
Beckombergavägen 220,Beckomberga,Stockholms kommun,2408,2022-09-06,3200000,2950000,Lägenhet,Bostadsrätt,2 ,63.5 ,1,0,1,2014,3459,4440,https://www.hemnet.se/salda/lagenhet-2rum-beckomberga-stockholms-kommun-beckombergavagen-220-8094033785139615873
Kebnekaisevägen 15,Traneberg,Stockholms kommun,1765,2022-09-05,2850000,2495000,Lägenhet,Bostadsrätt,2 ,43 ,1,0,0,1945,2745,4000,https://www.hemnet.se/salda/lagenhet-2rum-traneberg-stockholms-kommun-kebnekaisevagen-15-6093028931421581225
Kebnekaisevägen 6,Traneberg,Stockholms kommun,1732,2022-09-05,2750000,2750000,Lägenhet,Bostadsrätt,2 ,40 ,,1,0,1939,3022,5200,https://www.hemnet.se/salda/lagenhet-2rum-traneberg-stockholms-kommun-kebnekaisevagen-6-3861600936645724982
Granbacken 10,Bromma - Ulvsunda,Stockholms kommun,2027,2022-09-04,2230000,2150000,Lägenhet,Bostadsrätt,2 ,42 ,1,0,0,1939,3306,4584,https://www.hemnet.se/salda/lagenhet-2rum-bromma-ulvsunda-stockholms-kommun-granbacken-10-4837204082523468337
Tallbacksvägen 9,Bromma - Johannesfred,Stockholms kommun,1970,2022-09-02,2250000,2095000,Lägenhet,Bostadsrätt,2 ,42 ,0,1,0,1939,3150,13872,https://www.hemnet.se/salda/lagenhet-2rum-bromma-johannesfred-stockholms-kommun-tallbacksvagen-9-3948579623401416315
Sigrid Undsets Gata 1,Blackeberg,Stockholms kommun,1659,2022-09-02,2800000,2495000,Lägenhet,Bostadsrätt,2 ,55 ,1,,,1951,2488,,https://www.hemnet.se/salda/lagenhet-2rum-blackeberg-stockholms-kommun-sigrid-undsets-gata-1-2061475009828875422
Spannvägen 23,Åkeslund,Stockholms kommun,1570,2022-09-02,3300000,2995000,Lägenhet,Bostadsrätt,2 ,48.5 ,1,1,0,,3240,4440,https://www.hemnet.se/salda/lagenhet-2rum-akeslund-stockholms-kommun-spannvagen-23-697977161522269317
